participant,game_position,game_name,round_1,round_2,round_3,round_4
1,1,fitts_law,trial,25,50,100
1,2,feeding_frenzy,trial,25,50,100
1,3,rocket_league,trial,25,50,100
1,4,dave_the_diver,trial,25,50,100
1,5,half_life_2,trial,25,50,100
2,1,fitts_law,trial,50,100,25
2,2,feeding_frenzy,trial,50,100,25
2,3,rocket_league,trial,50,100,25
2,4,dave_the_diver,trial,50,100,25
2,5,half_life_2,trial,50,100,25
3,1,fitts_law,trial,100,25,50
3,2,feeding_frenzy,trial,100,25,50
3,3,rocket_league,trial,100,25,50
3,4,dave_the_diver,trial,100,25,50
3,5,half_life_2,trial,100,25,50
4,1,feeding_frenzy,trial,25,50,100
4,2,rocket_league,trial,25,50,100
4,3,dave_the_diver,trial,25,50,100
4,4,half_life_2,trial,25,50,100
4,5,fitts_law,trial,25,50,100
5,1,feeding_frenzy,trial,50,100,25
5,2,rocket_league,trial,50,100,25
5,3,dave_the_diver,trial,50,100,25
5,4,half_life_2,trial,50,100,25
5,5,fitts_law,trial,50,100,25
6,1,feeding_frenzy,trial,100,25,50
6,2,rocket_league,trial,100,25,50
6,3,dave_the_diver,trial,100,25,50
6,4,half_life_2,trial,100,25,50
6,5,fitts_law,trial,100,25,50
7,1,rocket_league,trial,25,50,100
7,2,dave_the_diver,trial,25,50,100
7,3,half_life_2,trial,25,50,100
7,4,fitts_law,trial,25,50,100
7,5,feeding_frenzy,trial,25,50,100
8,1,rocket_league,trial,50,100,25
8,2,dave_the_diver,trial,50,100,25
8,3,half_life_2,trial,50,100,25
8,4,fitts_law,trial,50,100,25
8,5,feeding_frenzy,trial,50,100,25
9,1,rocket_league,trial,100,25,50
9,2,dave_the_diver,trial,100,25,50
9,3,half_life_2,trial,100,25,50
9,4,fitts_law,trial,100,25,50
9,5,feeding_frenzy,trial,100,25,50
10,1,dave_the_diver,trial,25,50,100
10,2,half_life_2,trial,25,50,100
10,3,fitts_law,trial,25,50,100
10,4,feeding_frenzy,trial,25,50,100
10,5,rocket_league,trial,25,50,100
11,1,dave_the_diver,trial,50,100,25
11,2,half_life_2,trial,50,100,25
11,3,fitts_law,trial,50,100,25
11,4,feeding_frenzy,trial,50,100,25
11,5,rocket_league,trial,50,100,25
12,1,dave_the_diver,trial,100,25,50
12,2,half_life_2,trial,100,25,50
12,3,fitts_law,trial,100,25,50
12,4,feeding_frenzy,trial,100,25,50
12,5,rocket_league,trial,100,25,50
13,1,half_life_2,trial,25,50,100
13,2,fitts_law,trial,25,50,100
13,3,feeding_frenzy,trial,25,50,100
13,4,rocket_league,trial,25,50,100
13,5,dave_the_diver,trial,25,50,100
14,1,half_life_2,trial,50,100,25
14,2,fitts_law,trial,50,100,25
14,3,feeding_frenzy,trial,50,100,25
14,4,rocket_league,trial,50,100,25
14,5,dave_the_diver,trial,50,100,25
15,1,half_life_2,trial,100,25,50
15,2,fitts_law,trial,100,25,50
15,3,feeding_frenzy,trial,100,25,50
15,4,rocket_league,trial,100,25,50
15,5,dave_the_diver,trial,100,25,50
