participant,games,rounds
1,"[""fitts_law"", ""feeding_frenzy"", ""rocket_league"", ""dave_the_diver"", ""half_life_2""]","[25, 50, 100]"
2,"[""fitts_law"", ""feeding_frenzy"", ""rocket_league"", ""dave_the_diver"", ""half_life_2""]","[50, 100, 25]"
3,"[""fitts_law"", ""feeding_frenzy"", ""rocket_league"", ""dave_the_diver"", ""half_life_2""]","[100, 25, 50]"
4,"[""feeding_frenzy"", ""rocket_league"", ""dave_the_diver"", ""half_life_2"", ""fitts_law""]","[25, 50, 100]"
5,"[""feeding_frenzy"", ""rocket_league"", ""dave_the_diver"", ""half_life_2"", ""fitts_law""]","[50, 100, 25]"
6,"[""feeding_frenzy"", ""rocket_league"", ""dave_the_diver"", ""half_life_2"", ""fitts_law""]","[100, 25, 50]"
7,"[""rocket_league"", ""dave_the_diver"", ""half_life_2"", ""fitts_law"", ""feeding_frenzy""]","[25, 50, 100]"
8,"[""rocket_league"", ""dave_the_diver"", ""half_life_2"", ""fitts_law"", ""feeding_frenzy""]","[50, 100, 25]"
9,"[""rocket_league"", ""dave_the_diver"", ""half_life_2"", ""fitts_law"", ""feeding_frenzy""]","[100, 25, 50]"
10,"[""dave_the_diver"", ""half_life_2"", ""fitts_law"", ""feeding_frenzy"", ""rocket_league""]","[25, 50, 100]"
11,"[""dave_the_diver"", ""half_life_2"", ""fitts_law"", ""feeding_frenzy"", ""rocket_league""]","[50, 100, 25]"
12,"[""dave_the_diver"", ""half_life_2"", ""fitts_law"", ""feeding_frenzy"", ""rocket_league""]","[100, 25, 50]"
13,"[""half_life_2"", ""fitts_law"", ""feeding_frenzy"", ""rocket_league"", ""dave_the_diver""]","[25, 50, 100]"
14,"[""half_life_2"", ""fitts_law"", ""feeding_frenzy"", ""rocket_league"", ""dave_the_diver""]","[50, 100, 25]"
15,"[""half_life_2"", ""fitts_law"", ""feeding_frenzy"", ""rocket_league"", ""dave_the_diver""]","[100, 25, 50]"
